"","id","name","shopping","expiry","alt_name"
"1",794,"salt",0,99999,NA
"2",156,"lime",1,14,NA
"3",593,"ghee",0,180,NA
"4",802,"feta",1,60,NA
"5",771,"beer",1,365,NA
"6",17,"leek",1,5,NA
"7",1088,"milk",1,14,NA
"8",919,"peas",1,7,NA
"9",1020,"basil",1,7,NA
"10",1104,"onion",1,14,NA
"11",790,"honey",1,730,NA
"12",158,"lemon",1,14,NA
"13",182,"mango",1,7,NA
"14",1067,"bacon",1,14,NA
"15",994,"penne",1,365,NA
"16",591,"butter",1,30,NA
"17",485,"quinoa",0,180,NA
"18",114,"apples",1,14,NA
"19",1149,"bulgur",0,365,NA
"20",33,"capers",1,365,NA
"21",66,"celery",1,14,NA
"22",160,"orange",1,14,NA
"23",889,"tahini",0,30,NA
"24",73,"carrots",1,14,NA
"25",807,"raisins",1,180,NA
"26",16,"shallot",1,14,NA
"27",613,"soy oil",0,365,NA
"28",150,"almonds",1,180,NA
"29",542,"yoghurt",1,28,NA
"30",68,"potatoes",1,28,NA
"31",22,"broccoli",1,3,NA
"32",37,"cucumber",1,4,NA
"33",35,"avocados",1,4,NA
"34",18,"scallion",1,4,NA
"35",608,"olive oil",1,180,NA
"36",999,"spaghetti",0,730,NA
"37",891,"ice cubes",0,99999,NA
"38",71,"kohlrabis",1,7,NA
"39",625,"pine nuts",1,365,NA
"40",774,"soy sauce",0,365,NA
"41",859,"plain curd",1,14,NA
"42",655,"fresh mint",1,7,NA
"43",775,"fish sauce",0,90,NA
"44",266,"lamb chops",1,3,NA
"45",805,"red pepper",1,7,NA
"46",659,"fresh sage",1,7,NA
"47",761,"mayonnaise",1,60,NA
"48",221,"pork belly",1,5,NA
"49",1140,"pork roast",1,5,NA
"50",800,"red onions",1,14,NA
"51",611,"sesame oil",0,365,NA
"52",783,"lemon juice",1,365,NA
"53",789,"white sugar",0,99999,NA
"54",680,"cumin seeds",0,365,NA
"55",706,"dried basil",0,365,NA
"56",726,"dried thyme",0,365,NA
"57",241,"minced beef",1,3,NA
"58",855,"breadcrumbs",1,28,NA
"59",21,"cauliflower",1,3,NA
"60",860,"frozen peas",1,730,NA
"61",811,"wheat flour",0,365,NA
"62",138,"blueberries",1,5,NA
"63",600,"coconut oil",0,365,NA
"64",640,"fresh basil",1,7,NA
"65",272,"minced lamb",1,3,NA
"66",175,"pomegranate",1,30,NA
"67",19,"fresh garlic",1,14,NA
"68",728,"garam masala",1,180,NA
"69",869,"chili powder",0,730,NA
"70",739,"cumin powder",0,730,NA
"71",670,"fresh ginger",1,28,NA
"72",14,"fresh onions",1,14,NA
"73",882,"garlic paste",1,365,NA
"74",1145,"tomato sauce",1,730,NA
"75",634,"chicken eggs",1,28,NA
"76",881,"ginger paste",1,180,NA
"77",459,"basmati rice",0,365,NA
"78",901,"cheese slice",1,14,NA
"79",853,"green olives",1,30,NA
"80",269,"lamb fillets",1,3,NA
"81",799,"pearl onions",0,365,NA
"82",623,"sesame seeds",0,365,NA
"83",134,"strawberries",1,3,NA
"84",757,"tomato paste",1,360,NA
"85",779,"chicken stock",0,730,NA
"86",722,"dried oregano",0,365,NA
"87",777,"apple vinegar",0,730,NA
"88",733,"ground nutmeg",1,365,NA
"89",612,"sunflower oil",0,365,NA
"90",785,"coconut cream",0,365,NA
"91",541,"crème fraîche",1,7,NA
"92",765,"dijon mustard",1,365,NA
"93",20,"garlic powder",1,365,NA
"94",803,"green peppers",1,7,NA
"95",731,"ground ginger",1,365,NA
"96",806,"salted butter",1,21,NA
"97",865,"walnut halves",1,180,NA
"98",189,"whole chicken",1,3,NA
"99",732,"curcuma powder",0,365,NA
"100",724,"dried rosemary",0,365,NA
"101",883,"paprika powder",0,365,NA
"102",81,"sweet potatoes",1,21,NA
"103",878,"condensed milk",0,365,NA
"104",877,"dark chocolate",0,365,NA
"105",719,"dried bay leaf",1,365,NA
"106",41,"fresh tomatoes",1,7,NA
"107",576,"grated cheddar",1,30,NA
"108",546,"whipping cream",1,5,NA
"109",804,"yellow peppers",1,7,NA
"110",649,"fresh coriander",1,7,NA
"111",43,"canned tomatoes",1,365,NA
"112",735,"ground cinnamon",0,365,NA
"113",584,"grated parmesan",1,21,NA
"114",1136,"cherry tomatoes",1,7,NA
"115",190,"chicken breasts",1,3,NA
"116",741,"ground cardamom",1,365,NA
"117",754,"red curry paste",0,180,NA
"118",778,"vegetable stock",0,360,NA
"119",736,"ground coriander",1,365,NA
"120",776,"balsamic vinegar",0,365,NA
"121",523,"whole cow's milk",1,14,NA
"122",61,"canned chickpeas",0,365,NA
"123",843,"fresh lemongrass",1,7,NA
"124",1144,"dried red peppers",0,365,NA
"125",880,"fresh green beans",1,7,NA
"126",900,"white wine vinegar",0,730,NA
"127",49,"canned black beans",0,365,NA
"128",849,"precooked beetroot",1,21,NA
"129",768,"white cooking wine",0,730,NA
"130",740,"ground black pepper",0,365,NA
"131",682,"chili pepper flakes",0,365,NA
"132",879,"chocolate sprinkles",1,365,NA
"133",727,"yellow curry powder",0,365,NA
"134",12,"fresh spinach leaves",1,7,NA
"135",792,"pomegranate molasses",1,30,NA
"136",1146,"Kashmiri chili powder",0,365,NA
"137",40,"fresh red chili pepper",1,21,NA
"138",564,"grated mountain cheese",1,21,NA
"139",657,"fresh flat-leaf parsley",1,7,NA
"140",83,"fresh white champignons",1,7,NA
"141",873,"fresh green chili pepper",1,5,NA
"142",864,"sushi grade flounder filets",1,1,NA
